course_id,learners_enrolled,status,error
noc26_cy42,157,OK,
noc26_cy43,284,OK,
noc26_cy44,101,OK,
noc26_cy45,409,OK,
noc26_cy46,118,OK,
noc26_cy47,387,OK,
noc26_cy48,543,OK,
noc26_cy49,122,OK,
noc26_cy50,59,OK,
noc26_cy51,41,OK,
noc26_cy52,418,OK,
noc26_cy53,144,OK,
noc26_cy54,119,OK,
noc26_cy55,175,OK,
noc26_cy56,46,OK,
noc26_cy57,57,OK,
noc26_cy58,108,OK,
noc26_cy59,59,OK,
noc26_cy60,199,OK,
noc26_cy61,146,OK,
noc26_cy62,93,OK,
noc26_cy63,120,OK,
noc26_cy64,400,OK,
noc26_cy65,116,OK,
noc26_cy66,141,OK,
noc26_cy67,102,OK,
noc26_cy68,226,OK,
noc26_cy69,342,OK,
noc26_cy70,152,OK,
noc26_cy71,144,OK,
noc26_cy72,291,OK,
noc26_cy73,935,OK,
noc26_cy74,211,OK,
noc26_cy75,149,OK,
noc26_cy76,175,OK,
noc26_de19,187,OK,
noc26_de20,192,OK,
noc26_de21,419,OK,
noc26_de22,144,OK,
noc26_de23,729,OK,
noc26_de24,60,OK,
noc26_de25,137,OK,
noc26_de26,1480,OK,
noc26_de27,712,OK,
noc26_de28,558,OK,
noc26_de29,68,OK,
noc26_de30,240,OK,
noc26_de31,94,OK,
noc26_ec11,914,OK,
noc26_ec12,223,OK,
noc26_ec13,232,OK,
noc26_ec14,236,OK,
noc26_ec15,165,OK,
noc26_ec16,704,OK,
noc26_ec17,126,OK,
noc26_ec18,417,OK,
noc26_ec19,82,OK,
noc26_ec20,747,OK,
noc26_ec21,490,OK,
noc26_ec22,284,OK,
noc26_ec23,365,OK,
noc26_ee100,128,OK,
noc26_ee101,882,OK,
noc26_ee102,104,OK,
noc26_ee103,2335,OK,
noc26_ee104,345,OK,
noc26_ee105,316,OK,
noc26_ee106,324,OK,
noc26_ee107,376,OK,
noc26_ee108,743,OK,
noc26_ee109,789,OK,
noc26_ee110,622,OK,
noc26_ee111,357,OK,
noc26_ee112,256,OK,
noc26_ee113,942,OK,
noc26_ee114,80,OK,
noc26_ee115,566,OK,
noc26_ee116,416,OK,
noc26_ee117,44,OK,
noc26_ee118,605,OK,
noc26_ee119,415,OK,
noc26_ee120,1313,OK,
noc26_ee121,292,OK,
noc26_ee122,60,OK,
noc26_ee123,590,OK,
noc26_ee124,101,OK,
noc26_ee125,484,OK,
noc26_ee126,130,OK,
noc26_ee127,382,OK,
noc26_ee128,107,OK,
noc26_ee129,231,OK,
noc26_ee130,278,OK,
noc26_ee131,454,OK,
noc26_ee132,54,OK,
noc26_ee133,340,OK,
noc26_ee134,1190,OK,
noc26_ee135,1267,OK,
noc26_ee137,431,OK,
noc26_ee138,1574,OK,
noc26_ee139,1138,OK,
noc26_ee140,280,OK,
noc26_ee141,234,OK,
noc26_ee142,109,OK,
noc26_ee143,105,OK,
noc26_ee144,633,OK,
noc26_ee145,77,OK,
noc26_ee146,508,OK,
noc26_ee147,4156,OK,
noc26_ee148,187,OK,
noc26_ee149,290,OK,
noc26_ee150,163,OK,
noc26_ee151,272,OK,
noc26_ee152,453,OK,
noc26_ee153,504,OK,
noc26_ee154,2159,OK,
noc26_ee155,235,OK,
noc26_ee156,693,OK,
noc26_ee157,478,OK,
noc26_ee158,130,OK,
noc26_ee159,3856,OK,
noc26_ee160,120,OK,
noc26_ee161,127,OK,
noc26_ee162,269,OK,
noc26_ee163,218,OK,
noc26_ee164,94,OK,
noc26_ee165,103,OK,
noc26_ee166,468,OK,
noc26_ee167,545,OK,
noc26_ee168,927,OK,
noc26_ee169,495,OK,
noc26_ee170,519,OK,
noc26_ee171,487,OK,
noc26_ee172,265,OK,
noc26_ee173,343,OK,
noc26_ee174,821,OK,
noc26_ee175,1417,OK,
noc26_ee176,656,OK,
noc26_ee177,3329,OK,
noc26_ee178,1228,OK,
noc26_ee179,127,OK,
noc26_ee180,581,OK,
noc26_ee181,498,OK,
noc26_ee182,439,OK,
noc26_ee183,135,OK,
noc26_ee184,162,OK,
noc26_ee185,220,OK,
noc26_ee186,132,OK,
noc26_ee187,2119,OK,
noc26_ee188,83,OK,
noc26_ee189,2436,OK,
noc26_ee190,433,OK,
noc26_ee191,408,OK,
noc26_ee192,96,OK,
noc26_ee193,1414,OK,
noc26_ee194,271,OK,
noc26_ee195,125,OK,
noc26_ee197,390,OK,
noc26_ee198,242,OK,
noc26_ee199,58,OK,
noc26_ee200,238,OK,
noc26_ee201,109,OK,
noc26_ee202,333,OK,
noc26_ee93,237,OK,
noc26_ee94,521,OK,
noc26_ee95,71,OK,
noc26_ee96,2440,OK,
noc26_ee97,722,OK,
noc26_ee98,325,OK,
noc26_ee99,138,OK,
noc26_ge100,4789,OK,
noc26_ge101,270,OK,
noc26_ge102,1808,OK,
noc26_ge103,213,OK,
noc26_ge104,61,OK,
noc26_ge105,1512,OK,
noc26_ge106,2623,OK,
noc26_ge47,89,OK,
noc26_ge48,174,OK,
noc26_ge49,270,OK,
noc26_ge50,719,OK,
noc26_ge55,309,OK,
noc26_ge57,133,OK,
noc26_ge58,3239,OK,
noc26_ge59,1657,OK,
noc26_ge60,412,OK,
noc26_ge61,569,OK,
noc26_ge62,396,OK,
noc26_ge63,1347,OK,
noc26_ge64,217,OK,
noc26_ge65,1038,OK,
noc26_ge66,185,OK,
noc26_ge67,941,OK,
noc26_ge68,344,OK,
noc26_ge69,1505,OK,
noc26_ge70,312,OK,
noc26_ge71,57,OK,
noc26_ge72,1737,OK,
noc26_ge73,56,OK,
noc26_ge74,113,OK,
noc26_ge75,514,OK,
noc26_ge76,200,OK,
noc26_ge77,160,OK,
noc26_ge78,857,OK,
noc26_ge79,5327,OK,
noc26_ge80,329,OK,
noc26_ge81,718,OK,
noc26_ge82,653,OK,
noc26_ge83,1759,OK,
noc26_ge84,282,OK,
noc26_ge85,798,OK,
noc26_ge86,244,OK,
noc26_ge87,1267,OK,
noc26_ge88,156,OK,
noc26_ge89,257,OK,
noc26_ge90,875,OK,
noc26_ge91,477,OK,
noc26_ge92,45,OK,
noc26_ge93,2401,OK,
noc26_ge94,196,OK,
noc26_ge95,198,OK,
noc26_ge96,2881,OK,
noc26_ge97,979,OK,
noc26_ge98,1104,OK,
noc26_ge99,684,OK,
noc26_hs121,160,OK,
noc26_hs123,,Removed / Unavailable,
noc26_hs124,636,OK,
noc26_hs125,230,OK,
noc26_hs126,705,OK,
noc26_hs127,451,OK,
noc26_hs131,331,OK,
noc26_hs133,3632,OK,
noc26_hs135,327,OK,
noc26_hs136,210,OK,
noc26_hs137,2075,OK,
noc26_hs138,72,OK,
noc26_hs139,1624,OK,
noc26_hs140,127,OK,
noc26_hs141,82,OK,
noc26_hs142,149,OK,
noc26_hs143,45,OK,
noc26_hs144,307,OK,
noc26_hs145,2495,OK,
noc26_hs146,262,OK,
noc26_hs147,287,OK,
noc26_hs148,190,OK,
noc26_hs149,1335,OK,
noc26_hs150,882,OK,
noc26_hs151,220,OK,
noc26_hs152,174,OK,
noc26_hs153,501,OK,
noc26_hs154,411,OK,
noc26_hs155,87,OK,
noc26_hs156,242,OK,
noc26_hs157,99,OK,
noc26_hs158,642,OK,
noc26_hs159,126,OK,
noc26_hs160,6233,OK,
noc26_hs161,1712,OK,
noc26_hs162,62,OK,
noc26_hs163,375,OK,
noc26_hs164,381,OK,
noc26_hs165,130,OK,
noc26_hs166,1616,OK,
noc26_hs167,571,OK,
noc26_hs168,1845,OK,
noc26_hs169,1197,OK,
noc26_hs170,41,OK,
noc26_hs171,48,OK,
noc26_hs172,149,OK,
noc26_hs173,399,OK,
noc26_hs174,2534,OK,
noc26_hs175,608,OK,
noc26_hs176,124,OK,
noc26_hs177,118,OK,
noc26_hs178,165,OK,
noc26_hs179,301,OK,
noc26_hs180,499,OK,
